start_x;start_y;end_x;end_y;other_point_x;other_point_y;position_x;
9.38330000e+04;3.24459001e-01;9.38630000e+04;2.39015526e-01;9.38390000e+04;7.01066064e-01;9.38390000e+04;
9.39970000e+04;1.32838702e-01;9.40300000e+04;2.24204296e-01;9.40190000e+04;2.42304561e+00;9.40190000e+04;
9.46040000e+04;1.44911418e-01;9.4619000e+04;1.0723812e-01;9.46050000e+04;-3.47545023e+00;9.46040000e+04;
1.04452000e+05;3.02264773e-01;1.04483000e+05;2.65209363e-01;1.04459000e+05;7.02161977e-01;1.04459000e+05;
1.04558000e+05;1.96621394e-01;1.04617000e+05;2.18868894e-01;1.04578000e+05;8.70178097e-01;1.04578000e+05;
1.04617000e+05;2.18868894e-01;1.04648000e+05;1.10589213e-01;1.04639000e+05;1.51950193e+00;1.04639000e+05;
1.05413000e+05;7.80888041e-01;1.0542600e+05;-1.0859337e+00;1.05419000e+05;2.09756488e+00;1.05419000e+05;
1.07858000e+05;6.88929681e-01;1.07889000e+05;9.79357114e-01;1.07879000e+05;-5.46180021e+00;1.07879000e+05;
1.0883900e+05;1.7862143e-01;1.08868000e+05;5.23184991e-02;1.08840000e+05;-1.48761576e+00;1.0883900e+05;
1.08952000e+05;3.32426752e+00;1.08962000e+05;3.10007926e+00;1.08959000e+05;4.78054935e+00;1.08959000e+05;
1.09011000e+05;2.00411143e-01;1.09032000e+05;-2.11990225e-01;1.09019000e+05;2.36355822e+00;1.09019000e+05;
1.09413000e+05;9.98004241e-01;1.0944900e+05;9.8187728e-01;1.09439000e+05;-6.24248114e+00;1.09439000e+05;
1.14539000e+05;1.78921223e-01;1.14568000e+05;9.40197544e-02;1.14540000e+05;-1.44738634e+00;1.14539000e+05;
1.14638000e+05;1.17897106e-01;1.14688000e+05;7.44864591e-02;1.14659000e+05;6.93669746e-01;1.14659000e+05;
1.14695000e+05;3.11642543e-01;1.14743000e+05;2.87824187e-01;1.14719000e+05;1.39154532e+00;1.14719000e+05;
1.14769000e+05;2.92728491e-01;1.147910e+05;1.488752e-01;1.14779000e+05;3.20159839e+00;1.14779000e+05;
1.15122000e+05;1.14431599e+00;1.15163000e+05;1.10112699e+00;1.15139000e+05;-3.45419975e+00;1.15139000e+05;
1.16033000e+05;3.24459001e-01;1.16063000e+05;2.44200038e-01;1.16039000e+05;7.01066064e-01;1.16039000e+05;
1.16131000e+05;8.34298431e-02;1.16160000e+05;5.35363265e-02;1.16159000e+05;1.76855417e+00;1.16159000e+05;
1.18657000e+05;9.52375348e-03;1.18703000e+05;1.12293816e-01;1.18679000e+05;-6.25981727e+00;1.18679000e+05;
1.18979000e+05;1.78664257e-01;1.19010000e+05;1.20133186e-01;1.18980000e+05;-1.68176764e+00;1.18979000e+05;
1.19006000e+05;-2.44567823e-01;1.19049000e+05;-2.42350331e-01;1.19039000e+05;2.80950799e+00;1.19039000e+05;
1.20069000e+05;1.40609515e-01;1.20080000e+05;-6.04091212e-02;1.20074000e+05;1.14187654e+00;1.20074000e+05;
1.20460000e+05;4.77972231e-01;1.20480000e+05;4.40521704e-01;1.20479000e+05;2.73546369e+00;1.20479000e+05;
1.20998000e+05;1.85196276e+00;1.21043000e+05;1.12467981e-01;1.21019000e+05;-6.26777799e+00;1.21019000e+05;
1.23959000e+05;1.79435155e-01;1.23988000e+05;5.41558023e-02;1.23960000e+05;-1.48970003e+00;1.23959000e+05;
1.24411000e+05;1.14036833e+00;1.24449000e+05;9.78097031e-01;1.24439000e+05;-6.26594211e+00;1.24439000e+05;
